element_type,osmid,name,tourism,geometry,name:ca,wikidata,wikipedia,addr:housenumber,addr:street,wheelchair,barrier,addr:city,addr:postcode,museum,opening_hours,operator,operator:type,phone,website,nodes,building,alt_name,man_made,source,source:date,email,name:es,charge,fee,check_date:opening_hours,opening_hours:signed,name:en,name:de,image,architect,heritage,heritage:operator,historic,listed_status,start_date,official_name:ca,official_name:es,toilets:wheelchair,access,wikimedia_commons,ways,type,level,name:it,ref,source:file,source:name,source:ref,subject,addr:housename,height,smoking
way,836359659,Casa natal del Fra Juníper Serra,museum,"POLYGON ((3.1106989 39.6115194, 3.110596 39.6114886, 3.1105561 39.6114757, 3.1105484 39.6114731, 3.1105097 39.6114698, 3.1104843 39.6114243, 3.1105462 39.6114306, 3.1105693 39.611433, 3.1105882 39.611435, 3.1105836 39.6114552, 3.1106091 39.6114618, 3.1106269 39.6114386, 3.1107186 39.611463, 3.1107286 39.6114663, 3.1106989 39.6115194))",,Q43128826,,,,,,,,,,,,,,"[7806239739, 8795182327, 7806239758, 7806239740, 7806239741, 7806239742, 7806239743, 7806239744, 8064870996, 7806239745, 7806239746, 7806239747, 8795182328, 7806239750, 7806239739]",yes,,,,,,Casa natal de Fray Junípero Serra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,567811590,Museu de Mallorca,museum,POINT (3.0580463 39.7346725),Museu de Mallorca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1066553015,Museu Monogràfic de Pol·lèntia,museum,POINT (3.12032 39.8518475),,Q26822179,,,,,,,,,Mo-Fr 09:30-11:15; Sa 09:30-11:30; Su 09:30-14:30,,,,,,,,,,,,Museo Monográfico de Pollentia,4 EUR,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1112862362,Sa Bassa Blanca (Fundació Yannick y Ben Jakober),museum,POINT (3.1787652 39.842964),,,,,Camino del Collbaix,,,Alcúdia,07400,,,,,+34 971 546915,https://msbb.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1173127509,Museu Dionís Bennàssar,museum,POINT (3.0173207 39.879188),,,,14,Carrer de la Roca,,,,,,,,,+34 676831596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1173127517,Museu Martí Vicenç,museum,POINT (3.0140189 39.8786674),Museu Martí Vicenç,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1256815241,Museu de Sant Antoni i el Dimoni,museum,POINT (3.0195783 39.7699427),Museu de Sant Antoni i el Dimoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1552174430,Fundació Tabaluga,museum,POINT (3.0178396 39.8782243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2078816849,Museu / Taller Ricado Gagó,museum,POINT (3.0106273 39.6434021),,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4275618924,"el Castella de Capdepera, exhibition",museum,POINT (3.4332138 39.7044742),,,,,,,,,,,,,,,,,,,,,,,,,no,2022-09-04,no,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4815305656,Museu de Pollença,museum,POINT (3.0160779 39.8753046),Museu de Pollença,Q11938079,ca:Museu de Pollença,,,,,,,,"Tu-Sa 11:00-13:00; Jun-Sep 10:00-13:00,17:30-20:30; Mo off, PH off",,,+34 971531166,,,,,,,,,Museo de Pollença,,no,,,Pollença Museum,,,,,,,,,,,,,,,,,,,,,,,,,
node,9971983358,Centre Melis Cursach,museum,POINT (3.4334223 39.702426),,,,,,,,,,history,"Mo 08:00-15:00; Di-Fr 08:00-15:00, 19:00-21:00; Sa-So 19:00-21:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,283799874,Museu Regional,museum,"POLYGON ((3.3513328 39.6950445, 3.3513855 39.6950118, 3.3514136 39.6950449, 3.3514639 39.6950068, 3.3513904 39.6949405, 3.3513943 39.6949327, 3.3513435 39.694878, 3.351336 39.6948815, 3.3512791 39.6948098, 3.3512498 39.6948235, 3.3512244 39.6948397, 3.3512145 39.6948313, 3.3511756 39.694852, 3.3513328 39.6950445))",Museu Regional,,,,,,,,,,,,,,,"[2876256111, 2876256112, 2876256113, 2876256114, 7834762770, 7834762772, 7834762771, 7834762769, 2876256115, 7835483829, 7834762767, 7835483830, 2876256116, 2876256111]",yes,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,334165269,centre d'interpretació i museu arqueològic,museum,"POLYGON ((3.1828659 39.7368195, 3.1824951 39.7371104, 3.1826135 39.7372021, 3.1826864 39.7371463, 3.182709 39.7371638, 3.182765 39.7372072, 3.1828488 39.7371432, 3.1828128 39.7371154, 3.1828467 39.7370895, 3.1827575 39.7370204, 3.1829505 39.7368876, 3.1828659 39.7368195))",,,,,,,,,,,,,,,,"[3412538121, 1129362750, 1129362752, 1129362753, 9649392791, 1129362755, 1129362758, 1129362759, 3412538120, 3412538124, 3412538119, 3412538121]",office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1030892935,Can Bateman,museum,"POLYGON ((3.105651 39.7970783, 3.1057117 39.7970885, 3.1057312 39.7970206, 3.1057808 39.7970288, 3.1057613 39.7970969, 3.1058907 39.7971191, 3.1059038 39.7970734, 3.1059138 39.7970387, 3.1056747 39.7969975, 3.105651 39.7970783))",,,,,,,,,,,Mo-Su 09:00-16:00,,,,,"[9502416242, 9502416243, 9502416244, 9502416245, 9502416246, 9502416247, 9737582492, 9502416248, 9502416249, 9502416242]",yes,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1102892286,Can Domènec,museum,"POLYGON ((3.1211429 39.8524656, 3.1212239 39.8524871, 3.1212836 39.8525029, 3.1212829 39.8525046, 3.1212757 39.8525227, 3.1212743 39.8525272, 3.1212656 39.852549, 3.1212604 39.8525599, 3.1213655 39.852583, 3.1214314 39.8525976, 3.1215366 39.8524196, 3.1215321 39.8524179, 3.1215331 39.8524162, 3.1215608 39.8523736, 3.1215131 39.8523554, 3.1214778 39.8524027, 3.1214056 39.8523856, 3.1213726 39.8523777, 3.1213811 39.8523555, 3.1213313 39.8523426, 3.1213043 39.8523356, 3.1213103 39.8523266, 3.1212355 39.8522986, 3.121195 39.8523719, 3.1211731 39.8524105, 3.1211429 39.8524656))",Can Domènec,,,,,,,,,,,,,,,"[8668472134, 8668472143, 8668472135, 8668472139, 8668472136, 8668472101, 8668472102, 8668472093, 8668472099, 8668472098, 10092295004, 10092295005, 8668472105, 10092295006, 10092295007, 8668472110, 8668472114, 8668472111, 10092295008, 8668472124, 8668472123, 8668472148, 8668472149, 8668472146, 8668472145, 8668472134]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,497114358,Molí d'en Garleta,museum,POINT (2.6358952 39.5699368),,,,,,,,,,,,,,,,,,,windmill,,,,,,,,,,Museu dels Molins (Molí d'en Garleta),,,,,,,,,,,,,,,,,,,,,,,,
node,1429685512,House of Katmandu,museum,POINT (2.5344437 39.5108191),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10278005329,museo fundació Juan March,museum,POINT (2.6520235 39.5724122),,,,11,carrer de Sant Miquel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47280926,Galatzó,museum,"POLYGON ((2.4696078 39.6071224, 2.4699678 39.6071373, 2.469969 39.607176, 2.4703371 39.6072001, 2.470342 39.6071286, 2.4703497 39.6070149, 2.4703617 39.6068389, 2.4698754 39.6068353, 2.4696318 39.6068335, 2.4696078 39.6071224))",,,,,,,,,,,Mo-Su 07:00-19:00,,,,,"[9370277017, 1620276125, 1620276122, 602370664, 9732614432, 9732614433, 602370666, 7245431691, 602370667, 9370277017]",yes,,,,,,,,,,,,,https://photos.app.goo.gl/iqs1xWT9g1Jnjpfx5,,,,,,,,,,,,,,,,,,,,,,,
way,73039791,Fundación Bartolomé March Servera,museum,"POLYGON ((2.6470798 39.5687667, 2.6470715 39.5686945, 2.647363 39.5685551, 2.6473705 39.5685643, 2.6473969 39.5685507, 2.6476729 39.5686331, 2.647914 39.5687071, 2.6477843 39.5689657, 2.647783 39.5689683, 2.6477683 39.5689648, 2.6477657 39.5689691, 2.647637 39.5689306, 2.6476395 39.5689259, 2.6476298 39.5689228, 2.6476308 39.5689155, 2.6475251 39.5688845, 2.6475192 39.5688944, 2.6470798 39.5687667))",,,,,,,,,,,,,,,,"[866859771, 866859780, 7017666770, 7017677840, 866859810, 7017677813, 866859815, 1481413404, 7017666780, 7017677854, 7017677814, 7017666776, 7017677849, 7017677810, 7017666774, 7017677845, 7017677805, 866859771]",,,,ideib.cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,73043459,Gran Hotel CaixaForum,museum,"POLYGON ((2.649944 39.5716524, 2.6499302 39.5717024, 2.6499163 39.5717562, 2.6498667 39.5719509, 2.6498769 39.5719538, 2.6499386 39.5719471, 2.6500072 39.5719404, 2.6501258 39.5719344, 2.6501266 39.5719252, 2.6501798 39.5719257, 2.6502523 39.5719274, 2.6502551 39.5718259, 2.6504245 39.5718196, 2.6504216 39.5717853, 2.650413 39.5717134, 2.6504192 39.5717129, 2.6504169 39.5716689, 2.650416 39.5716588, 2.6503519 39.5716596, 2.650355 39.5717179, 2.6503658 39.5717184, 2.6503693 39.5717777, 2.6502972 39.5717819, 2.6502843 39.571783, 2.6502677 39.5717831, 2.6502562 39.571784, 2.6502556 39.5718001, 2.6502136 39.5717987, 2.6501981 39.5717981, 2.6501786 39.5717975, 2.6501814 39.5717579, 2.6501667 39.5717584, 2.6501795 39.5716667, 2.65018 39.5716602, 2.6500841 39.5716572, 2.6499929 39.5716537, 2.649944 39.5716524))",,Q3780261,en:Gran Hotel (Palma),3,plaça d'en Weyler,,,,07001,,Mo-Sa 10:00-20:00; Su 11:00-14:00,Fundació La Caixa,,+34 971 17 85 00,http://obrasociallacaixa.org,"[866918742, 8654926560, 8035712431, 866918764, 8654926561, 8654926562, 8654926563, 866918793, 866918722, 8654926564, 866918832, 866918860, 8035712409, 8654926552, 8035712435, 8035712434, 8035712430, 8035712428, 8035712417, 8035712418, 8035712416, 8035712415, 8035712427, 8035712424, 8654926556, 8035712414, 8035712413, 8035712423, 8035712420, 8035712412, 8035712411, 8035712410, 8035712429, 866918737, 8654926559, 3950079515, 866918742]",yes,CaixaFòrum,,,,,,,,,,,,,Lluís Domènech i Montaner,3,Consell de Mallorca,yes,Béns d'Interès Cultural,1903,,,,,,,,,,,,,,,,,
way,123761462,Museu de Mallorca,museum,"POLYGON ((2.6507408 39.5672564, 2.6507716 39.5672432, 2.6508066 39.5672258, 2.6509165 39.567176, 2.6509428 39.5671639, 2.6511015 39.5670924, 2.6511622 39.567068, 2.6509902 39.5669024, 2.6509223 39.5668065, 2.6508907 39.5668142, 2.6507984 39.5668371, 2.6507954 39.5668327, 2.6507682 39.56684, 2.6506865 39.5668561, 2.650691 39.5668733, 2.6505738 39.5668868, 2.6506168 39.567107, 2.6507408 39.5672564))",Museu de Mallorca,Q9047027,ca:Museu de Mallorca,,,,,,,,,,,,http://www.museudemallorca.es,"[1379057765, 8670884550, 8670884551, 1379057763, 8035270684, 8670884558, 1379057754, 1840232094, 1379057736, 8670884559, 8035270682, 8035270681, 8670884560, 1379057737, 1379057742, 1379057743, 1379057755, 1379057765]",yes,Ca la Gran Cristiana,,ideib WMS layer;cadastre;survey,,,Museo de Mallorca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,126968888,Es Baluard,museum,"POLYGON ((2.6408156 39.5699637, 2.6408688 39.5699611, 2.6411913 39.5699307, 2.6412725 39.5699222, 2.6412813 39.5700388, 2.6413335 39.5702977, 2.6413366 39.5703133, 2.6413598 39.5704156, 2.6413676 39.5704425, 2.6414001 39.5705551, 2.6414599 39.5705868, 2.6414768 39.5706355, 2.6412704 39.5707014, 2.6404257 39.5698316, 2.6406683 39.5698269, 2.6408156 39.5699637))",,Q357917,ca:Es Baluard,,,yes,,,,,,Ajuntament de Palma;Govern de les Illes Balears;Consell de Mallorca;Fundació Art Serra,,,http://www.esbaluard.org,"[1406136315, 1406136312, 1406136311, 1406136309, 1406136319, 1406136327, 1406136329, 1406136332, 1406136334, 1406136335, 1406136342, 1406136343, 1406136344, 8901051416, 1406136299, 1406136315]",yes,,,,,,,,,,,Es Baluard Museum of Contemporary Art of Palma,,,,,,,,,Es Baluard Museu d'Art Contemporani de Palma,Es Baluard Museo de Arte Contemporáneo de Palma,yes,,,,,,,,,,,,,,
way,356979941,Convent de Sant Bonaventura,museum,"POLYGON ((2.8950681 39.4914212, 2.8952453 39.491348, 2.8953678 39.4912949, 2.8954161 39.4912737, 2.8952152 39.4909912, 2.8948671 39.4911386, 2.8950681 39.4914212))",,,,,,,,,,,,,,,,"[3623777450, 7375808269, 7375808268, 3623777451, 3623777446, 3623777448, 3623777450]",yes,,,,,,,,no,,,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,
way,372794760,Casal Balaguer,museum,"POLYGON ((2.6476046 39.5715769, 2.6475593 39.5717826, 2.6475694 39.5717889, 2.6475676 39.5718428, 2.6475566 39.5718465, 2.6476224 39.5719737, 2.6477709 39.5719009, 2.6478192 39.5718754, 2.6479224 39.5718196, 2.6479215 39.5718169, 2.6478353 39.5717911, 2.6478494 39.5716081, 2.6476046 39.5715769))",,Q105946604,,,,,,,,,,,,,,"[3763441188, 3763441189, 7140882674, 7140882673, 7140882672, 7252288319, 8646758293, 8646758292, 7252288318, 8646758291, 3763441190, 3763441191, 3763441188]",apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,384811169,Museu d'arts decoratives,museum,"POLYGON ((2.6530844 39.6040454, 2.6533276 39.6040053, 2.6533596 39.6041383, 2.6533106 39.6041497, 2.6533516 39.6042944, 2.6535454 39.6042583, 2.6535109 39.6040855, 2.6534209 39.604098, 2.6534089 39.6040386, 2.6535067 39.6040296, 2.6534411 39.6036624, 2.6533202 39.6036739, 2.6533302 39.6037164, 2.6530388 39.6037489, 2.6530844 39.6040454))",Museu d'arts decoratives,,,,,,,,,,,,,,https://www.museodeartesdecorativas.com/,"[3881662515, 7397644452, 7397644454, 7397644453, 7397644451, 3881662516, 7397644457, 7397644460, 7397644459, 7397644458, 3881662517, 7397644456, 7397644455, 3881662518, 3881662515]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,403941906,Seminari Vell,museum,"POLYGON ((2.6534024 39.5664855, 2.6535625 39.5669691, 2.6540441 39.566875, 2.6540343 39.5668426, 2.6539279 39.5665357, 2.6538969 39.5664437, 2.6540622 39.5664132, 2.6540952 39.5665028, 2.6541071 39.5665351, 2.6541607 39.5665226, 2.6541641 39.5663441, 2.6534024 39.5664855))",Seminari Vell,Q108632093,,,,,,,,,,,,,,"[4062364207, 4062364208, 4062364209, 4062364204, 4062364203, 7389583003, 7389583002, 4062364202, 7234316033, 4062364206, 4062364211, 4062364207]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,417857862,Kreković,museum,"POLYGON ((2.6661869 39.5678437, 2.66673 39.5677855, 2.6666475 39.5673279, 2.6664137 39.567353, 2.6664366 39.56748, 2.6662477 39.5675003, 2.6662253 39.5673761, 2.6659992 39.5674004, 2.6660672 39.5677773, 2.6661729 39.5677659, 2.6661869 39.5678437))",,,,,,,,,,,,,,,,"[4183345593, 4183345594, 4183345595, 4183345596, 4183345597, 4183345598, 4183345599, 4183345600, 4183345601, 4183345602, 4183345593]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,436729646,,museum,"POLYGON ((2.7506408 39.5198856, 2.7505976 39.5198116, 2.7511473 39.5196431, 2.7518123 39.5199912, 2.7517163 39.5201116, 2.7511329 39.5197912, 2.7511065 39.5197356, 2.7506408 39.5198856))",,,,,,,,,,,,,,,,"[4346041708, 4346041709, 4346041710, 4346041711, 4346041712, 4346041713, 4346041714, 4346041708]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,530305742,Liedtke,museum,"POLYGON ((2.3722273 39.5327934, 2.3723677 39.5328132, 2.3724102 39.532634, 2.3722699 39.5326142, 2.3722273 39.5327934))",,,,,,,,,,,,,,,,"[5149757257, 5149757258, 5149757259, 5149757260, 5149757257]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,661283150,Fundació Pilar i Joan Miró a Mallorca,museum,"POLYGON ((2.6092166 39.5550594, 2.6093577 39.5545398, 2.6094316 39.554521, 2.6095016 39.5545097, 2.6095791 39.5544977, 2.609691 39.5544896, 2.6098005 39.5544885, 2.6099756 39.5545273, 2.6100834 39.5545351, 2.6102648 39.5545194, 2.6104404 39.5545052, 2.6105367 39.5544958, 2.6106248 39.5544921, 2.6107482 39.5545005, 2.6107734 39.5545132, 2.6107646 39.5545263, 2.6101053 39.5551062, 2.6100264 39.555173, 2.6099878 39.555151, 2.6100183 39.5550758, 2.6099614 39.5550711, 2.6097459 39.5550915, 2.6096057 39.5551119, 2.609441 39.5551322, 2.6092987 39.5552263, 2.6092534 39.555291, 2.6092438 39.5553046, 2.6091829 39.5553501, 2.6090955 39.5553767, 2.609002 39.5553689, 2.608941 39.5553501, 2.6088243 39.555329, 2.6087814 39.5553188, 2.6086908 39.5553736, 2.6086445 39.555416, 2.6088389 39.5555832, 2.6088333 39.5556, 2.6090598 39.555764, 2.609037 39.5557873, 2.6091923 39.5558951, 2.609159 39.5559086, 2.6089377 39.5561236, 2.6085672 39.555862, 2.6086334 39.5557416, 2.608764 39.555558, 2.608621 39.5554477, 2.6085371 39.5553756, 2.6084109 39.5552978, 2.6084074 39.5552506, 2.6084664 39.5551606, 2.6085647 39.5550793, 2.6086496 39.5550436, 2.6088042 39.5550282, 2.6092166 39.5550594))",Fundació Pilar i Joan Miró a Mallorca,Q949576,ca:Fundació Miró Mallorca,29,Carrer de Saridakis,,,Palma,07015,art,Tu-Su 10:00-17:00,,,,https://miromallorca.com/,"[6190948250, 6190948251, 6190948252, 6190961143, 6190961144, 6190948253, 6190948254, 6190948255, 6190948256, 6190948257, 6190948258, 6190948259, 6190948260, 6190948261, 6190948262, 6190948263, 6190948280, 6190948264, 6190948265, 6190948266, 6190948267, 6190948268, 6190948269, 6190948270, 6190948271, 6190951997, 6190948272, 6190948273, 6190948274, 6190948275, 6190948276, 6190952003, 6665067696, 6665067697, 6665067700, 7502638574, 7502638575, 6665067701, 6665067704, 6665067705, 7502638573, 6665067703, 6665067702, 8158542736, 6665067699, 6665067698, 6190952002, 6665067715, 6665067716, 6190952000, 6190951999, 6190951998, 6190948279, 6190948250]",,,,,,,,,,,,,,,,,,,,,,,,,Category:Fundació Pilar i Joan Miró,,,,,,,,,,,,
way,1154137364,Toni Catany,museum,"POLYGON ((2.893771 39.4901936, 2.894144 39.4900314, 2.8940501 39.4899191, 2.8939866 39.4899477, 2.8939456 39.4898976, 2.8939125 39.4899129, 2.8940157 39.4900456, 2.8938874 39.4901028, 2.89382 39.4900099, 2.893685 39.4900742, 2.893771 39.4901936))",,,,,,,,,,,,,,,,"[10733736034, 10733736035, 10733736036, 10733736037, 10733736038, 10733736039, 10733736040, 10733736041, 10733736042, 10733736043, 10733736034]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,2424201,Museu Diocesà,museum,"POLYGON ((2.6496961 39.5670236, 2.6497161 39.5670528, 2.6497306 39.5670467, 2.649748 39.5670387, 2.6497352 39.5670173, 2.6497283 39.5670085, 2.6497112 39.5669868, 2.6496565 39.5669105, 2.6496853 39.5668982, 2.6496714 39.5668735, 2.6496624 39.5668585, 2.6496255 39.5668714, 2.6496162 39.5668575, 2.6495739 39.5667944, 2.6495081 39.5666904, 2.6495282 39.566683, 2.6495161 39.5666622, 2.6495001 39.5666638, 2.6494911 39.5666233, 2.6494868 39.5666075, 2.6494882 39.5666066, 2.6494868 39.5666043, 2.6494122 39.5666242, 2.6494234 39.5666429, 2.6491156 39.5667523, 2.649166 39.5668434, 2.6490804 39.566882, 2.6491246 39.5669477, 2.6491884 39.5670418, 2.6493167 39.567193, 2.6496961 39.5670236), (2.6492771 39.5669977, 2.6491713 39.5668463, 2.6493569 39.566783, 2.6494505 39.56689, 2.649501 39.566954, 2.6493121 39.5670405, 2.6492771 39.5669977))",,,,5,Carrer del Mirador,,,,,,,,,,,"[[[1378793418, 4491449729, 6896123237, 6896123236, 6896683047, 8670884591, 1378793406, 6896683046, 6896128085, 6896080484, 6896683039, 6896080479, 6896080478, 6896683040, 6896080483, 6896080480, 6896080482, 6896080481, 1921982940, 8670884601, 8670884602, 7017677794, 1378793399, 6896110030, 8035377983, 1921982941, 1921982961, 1378793401, 1378793404, 1378793415, 1378793418], [1921982966, 1921982964, 6896110029, 1921982960, 1921982962, 1921982965, 1921982966]]]",yes,palau Episcopal,,,,,,,,,,,,,,,,,,,,,,,,"[123725957, 181767876]",multipolygon,,,,,,,,,,
