element_type,osmid,name,tourism,geometry,source,addr:city,addr:housenumber,addr:postcode,addr:street,website,wikidata,wikipedia,addr:country,nodes,fee,highway,inscription,layer,lit,opening_hours,start_date,surface,tunnel,building,note,email,phone,shop,contact:phone,source:wheelchair,wheelchair,wheelchair:description,level,air_conditioning,facebook,name:de,name:en,name:es,name:hu,name:it,name:ru,name:zh,operator,barrier,amenity,fax,club,disused:addr:city,disused:addr:country,disused:addr:housenumber,disused:addr:postcode,disused:addr:street,disused:amenity,flickr,internet_access,internet_access:ssid,short_name,chip_scanner,toilets:wheelchair,name:pl,cuisine,contact:facebook,contact:website,description,dog,free_refill,owncup,owncup:discount,alt_name,capacity,contact:email,official_name,official_name:en,ref:google,contact:foursquare,historic,url,name:cs,name:da,name:el,name:fi,name:fr,name:hr,name:ie,name:ja,name:la,name:nl,name:no,name:pt,name:ro,name:se,name:sk,name:sl,name:sr,name:uk,is_in:city,is_in:country,contact:tripadvisor,check_date:opening_hours,artwork_type,indoor,leisure,source:geometry,building:levels,int_name,old_name,architect,building:colour,building:material,roof:colour,roof:levels,roof:material,roof:shape,wikipedia:hu,architect:wikipedia,contact:fax,office,source:start_date,ways,type,heritage,source:date,addr:subdistrict,loc_name,fixme,opening_hours:signed,operator:type,charge,mobile
node,3039952623,"DUNA-P'ART Galéria, Antikvitás",gallery,POINT (19.1251324 47.7781412),,,,,,,,,,,,,,,,,,,,,,,,art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3046598289,Főtér Galéria,gallery,POINT (19.1270569 47.7781529),,Vác,15,2600,Március 15. tér,http://vacgaleria.hu,,,,,,,,,,Tu-Su 10:00-18:00,,,,,,,,,+36 27 305 748,jarhato.hu,limited,Segítséggel járható. Bejáratnál lépcső.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3068385150,V'14 Art Galéria,gallery,POINT (19.1286813 47.7790232),survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5368488222,Sigil Galéria,gallery,POINT (18.9604414 47.7899039),,Nagymaros,21,2626,Váci út,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,735186601,Magyar Nemzeti Galéria,gallery,POINT (19.0397733 47.4962283),,Budapest,2,1014,Szent György tér,https://mng.hu/,Q252071,hu:Magyar Nemzeti Galéria,,,yes,,,,,Tu-Su 10:00-18:00,,,,,,info.mng@mng.hu,+36 1 201 9082,,,,yes,,,yes,https://www.facebook.com/96255263244,Ungarische Nationalgalerie,Hungarian National Gallery,Galería Nacional Húngara,Magyar Nemzeti Galéria,Galleria nazionale ungherese,Венгерская национальная галерея,国家美术馆,Szépművészeti Múzeum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1728381099,Orosz Kulturális Köpont,gallery,POINT (19.0745571 47.5132514),,Budapest,120,1062,Andrássy út,http://ruscenter.hu/,,,,,,,,,,Mo-Fr 10:00-18:00,,,,,,mail@ruscenter.hu,+36 1 332 2154,,,,,,,,,,,,,,,,,,community_centre,+36 1 312 2693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1764267373,Rátkay-Átlók Galéria,gallery,POINT (19.1153745 47.430874),,Budapest,48,1201,Klapka utca,http://pesterzsebetimuzeum.hu/index.php/ratkayatlok,,,,,no,,,,,Tu-Sa 10:00-18:00,,,,,,info@pesterzsebetimuzeum.eu,+36 1 284 7324,,,,,,,,https://www.facebook.com/111876485560325,,,,,,,,Pesterzsébeti Múzeum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1937787172,Centrális Galéria,gallery,POINT (19.053412 47.5025491),,Budapest,32,1051,Arany János utca,http://w3.osaarchivum.org/galeria,,,,,,,,,,Tu-Su 10:00-18:00,,,,,,info@osaarchivum.org,+36 1 327 3250,,,,yes,,,,https://www.facebook.com/OSAarchivum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2385679979,Glassyard Gallery,gallery,POINT (19.0583918 47.5007736),,Budapest,25-27,1061,Paulay Ede utca,,,,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2534474624,Művelődési Szint,gallery,POINT (19.069445 47.495799),,,,,,http://muszi.org/,,,,,,,,,,"Mo-Fr 10:00-19:00, Sa-Su 14:00-19:00",,,,,,info@muszi.org,,,,,,,3,,http://www.facebook.com/muvelodesiszint,,Community and Art Level,,,,,,Művelődési Szint Kft.,,,,board_games;cinema,Budapest,HU,1-2,1085,Blaha Lujza tér,community_centre,https://www.flickr.com/photos/muvelodesiszint,wlan,muszi,MüSzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2711320992,Klauzál Gábor Budafok-Tétényi Művelődési Központ,gallery,POINT (19.0215409 47.4089147),,Budapest,31-33,1222,Nagytétényi út,https://www.klauzalhaz.hu/,,,,,no,,,,,08:00-22:00,,,,,,info@klauzalhaz.hu,+36 1 226 0559,,,,yes,,,,https://www.facebook.com/Klauzalhaz,,,,,,,,,,community_centre,,cinema,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2762712749,Tárt Kapu Galéria,gallery,POINT (19.0668894 47.4847519),,Budapest,2,1092,Hőgyes Endre utca,http://tartkapugaleria.com/,,,,,no,,,,,Tu-Fr 14:00-18:00,,,,,,info@tartkapugaleria.com,+36 20 390 8815,,,,,,,,https://www.facebook.com/160799590737706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2795507917,Art 9 Galéria,gallery,POINT (19.0657264 47.4835704),,Budapest,47,1092,Ráday utca,http://art9.hu/,,,,,,,,,,Tu-Sa 14:00-18:00,,,,,,art9egyesulet@gmail.com,+36 1 216 7495,,,,,,,,https://www.facebook.com/art9galeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2829269828,Museion No. 1 Galéria,gallery,POINT (19.0628496 47.4889664),,Budapest,3,1091,Üllői út,http://www.icshu.org/museionbudapest.html,,,,,,,,,,Tu-Fr 14:00-18:00,,,,,,museion@t-online.hu,+36 1 216 4784,,,,no,,,,https://www.facebook.com/MuseionNo1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2974999204,Ari Kupsus Galéria,gallery,POINT (19.0681123 47.4929266),,Budapest,23/b,1088,Bródy Sándor utca,http://arikupsusgallery.com/,,,,,,,,,,Sep-May Tu-Fr 13:00-18:00,,,,,,ari@arikupsusgallery.com,+36 20 322 0334,,,,no,,,,https://www.facebook.com/arikupsusgallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3152349061,Lengyel Intézet,gallery,POINT (19.0605001 47.503602),,Budapest,15,1065,Nagymező utca,http://polinst.hu/,,,,,,,,,,Mo-Fr 09:00-17:00,,,,,,budapest.info@instytutpolski.org,+36 1 505 4660,,,,no,,,,https://www.facebook.com/lengyel.intezet,,,,,,,,,,community_centre,,,,,,,,,,,,,,,Instytut Polski w Budapeszcie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3208101680,Galéria 12 Kávézó és Borbár,gallery,POINT (19.0223162 47.5056964),,Budapest,21,1122,Hajnóczy József utca,http://galeria12.hu/,,,,,no,,,,,Mo-Fr 12:00-22:00; Sa 16:00-22:00,,,,,,galeria12borbar@gmail.com,+36 30 903 4880,,,,,,,,https://www.facebook.com/galeria12kavezoborbar,,,,,,,,,,cafe,,,,,,,,,,wlan,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3256444361,Montázs Art Café,gallery,POINT (19.0317636 47.4647823),,Budapest,55,1119,Etele út,,,,,,,,,,,Mo-Fr 08:00-20:00,,,,,,,,,+36 30 783 8125,,no,,,,,,,,,,,,,,cafe,,,,,,,,,,,MONTAZSPublic;MONTAZSCafe,,,no,,,https://www.facebook.com/montazsartcafe,http://montazsartcafe.hu/,"Kutyával be lehet menni rendelni, viszont leülni csak a teraszon lehet.",permissive,yes,yes,100 Ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3275579888,K Galéria,gallery,POINT (19.0608572 47.4908242),,Budapest,44,1053,Magyar utca,,,,,,,,,,,Tu-Th 10:00-16:00; Fr 14:00-18:00,,,,,,,,,+36 1 324 3855,,,,,,,,Gallery K,,K Galéria,,,,Qualiserve Kft.,,cafe,,,,,,,,,,,,,,,,,100064034502429,https://kgaleria.hu/,,,,,,Kortárs Galéria és Kávézó,16,info@kgaleria.hu,K│Kortárs Képzőművészeti Kiállítótér,K│Contemporary Exhibition Space,/g/11l4qj81c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3351927184,Kisterem Galéria,gallery,POINT (19.0599513 47.4897151),,Budapest,5,1053,Képíró utca,,,,,,,,,,,Tu-Fr 14:00-18:00,,,,,,,,,+36 1 267 0522,,,,,,,,,,,,,,Kisterem Kft.,,,,,,,,,,,,,,,,,,,1172991596100493,https://www.kisterem.hu/,,,,,,,,kisterem@kisterem.hu,,,/g/11b638_qbk,4ebd345f775bbbe5d755c70a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3444720372,Józsefvárosi Galéria,gallery,POINT (19.0706096 47.4874611),,Budapest,70,1085,József körút,http://www.jozsefvarosigaleria.hu/,,,,,no,,,,,"Mo,We-Fr 08:00-20:00; Tu 08:00-21:00",,,,,,jozsefvarosigaleria@gmail.com,+36 1 313 9883,,,,,,,,https://www.facebook.com/jozsefvarosigaleria,,,,,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3487749567,KSH Könyvtár,gallery,POINT (19.0308828 47.5118017),,Budapest,5,1024,Keleti Károly utca,http://konyvtar.ksh.hu/,Q1125962,hu:Központi Statisztikai Hivatal Könyvtár,,,,,,,,Mo-Th 09:00-17:00; Fr 08:00-16:00,,,,,,konyvtar@ksh.hu,+36 1 345 6036,,Beiratkozás: +36 (1) 345-6110; Kölcsönzés: +36 (1) 345-6339,,,,,,https://www.facebook.com/kshkonyvtar,,,,,,,,Központi Statisztikai Hivatal,,library,,board_games,,,,,,,,,,KSH Könyvtár,,,,,,,,,,,,,,,Központi Statisztikai Hivatal Könyvtár,,,,,http://konyvtar.ksh.hu/index.php?s=kapcsolat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3508475244,Zipernowsky Tudományok és Művészetek Háza,gallery,POINT (19.0504175 47.4793479),,Budapest,33,1114,Bartók Béla út,http://www.zipernowskyhaz.hu/,,,,,no,,,,,"Mo-Th 10:00-18:00, Fr 11:00-19:00",,,,,,,,,,,no,,,,https://www.facebook.com/ZipernowskyHaz,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3508478128,Három Hét Galéria,gallery,POINT (19.0499846 47.4790797),,,,,,,,,,,no,,,,,Tu-Fr 11:00-15:00; Sa 12:00-18:00,,,,,,andrea.bodis@haromhet.hu,+36 70 866 4222,,,,no,,,,https://www.facebook.com/haromhet,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3521866913,Eventuell Galéria,gallery,POINT (19.0554983 47.4905729),,Budapest,7,1056,Nyáry Pál utca,,,,,,,,,,,"Th,Fr 11:00-18:00; Sa 10:30-14:00",,,,,,,,,+36 1 318 6926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104304406286356,https://eventuell.hu/,,,,,,,,szilvisziget@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3730683024,FUGA,gallery,POINT (19.0550436 47.4938428),,Budapest,5,1052,Petőfi Sándor utca,http://fuga.org.hu/,,,,,yes,,,,,Mo-Su 10:00-21:00,,,,,,info@fuga.org.hu,+36 1 266 2395,,,,limited,,,,https://www.facebook.com/fuga.bek,FUGA Budapest Architekturzentrum,FUGA Budapest Center of Architecture,Centro de Arquitectura FUGA Budapest,,Centro di Architettura FUGA Budapest,Будапештский архитектурный центр FUGA,FUGA布达佩斯建筑中心,Budapesti Építész Kamara;1088 Bp. Ötpacsirta u. 2.;www.bek.hu,,arts_centre,,,,,,,,,,,,,,,Centrum Architektury FUGA Budapeszt,,,,"Építészeti kultúra, kiállítások, könyvek, kiadványok, kávézó",,,,,,,,FUGA Budapesti Építészeti Központ,,,,,,Centrum architektury FUGA v Budapešti,FUGA Budapest Architecture Center,Κέντρο αρχιτεκτονικής FUGA Βουδαπέστης,FUGA Budapestin arkkitehtuurikeskus,Centre d'architecture FUGA de Budapest,Arhitektonski centar FUGA iz Budimpešte,Ionad Ailtireachta Bhúdaipeist FUGA,FUGAブダペスト建築センター,FUGA architectura Hygiae Center,FUGA Boedapest Architectuurcentrum,FUGA Budapest arkitektursenter,Centro de Arquitetura FUGA Budapeste,FUGA Budapest Architecture Center,FUGA Budapest Architecture Center,Centrum architektúry FUGA v Budapešti,Arhitekturni center FUGA Budimpešta,Архитектонски центар ФУГА из Будимпеште,Будапештський архітектурний центр FUGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3740423953,Art Salon Társalgó Galéria,gallery,POINT (19.0285062 47.512063),,Budapest,22,1024,Keleti Károly utca,http://www.tarsalgogallery.com/,,,,,,,,,,Mo-Fr 11:00-18:00,,,,,,kunstkonsult@kunstkonsult.hu,+36 1 212 5648,,,,,,,,https://www.facebook.com/artsalonbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3884465506,Román Kulturális Intézet,gallery,POINT (19.0925472 47.5080632),http://www.mae.ro/romanian-missions/3465,Budapest,5,1146,Izsó utca,https://www.icr.ro/budapesta/,Q2740485,ro:Institutul Cultural Român,,,,,,,,Mo-Fr 10:00-13:00; Mo-Fr 14:00-17:30,,,,,,romankulturalis.intezet@upcmail.hu,+36 1 383 2693,,,,,,,,https://www.facebook.com/130240803663069,,Romanian Cultural Institute in Budapest,,,,,,Institutul Cultural Român,,community_centre,+36 1 383 5345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Institutul Cultural Român Budapesta,,,,,,Budapest,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4009348868,Csepel Galéria,gallery,POINT (19.0747066 47.4337463),,Budapest,15,1215,Csete Balázs utca,http://www.csepelivaroskep.hu/varoskep/,,,,,,,,,,Mo-Th 08:00-16:00,,,,,,info@csepelivaroskep.hu,+36 1 278 0711,,,,,,,,https://www.facebook.com/1597038717194692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4037294527,Várnegyed Galéria,gallery,POINT (19.0259268 47.5062135),,Budapest,67,1015,Batthyány utca,,,,,,no,,,,,Tu-Sa 11:00-18:00,,,,,,,+36 1 214 4450,,,,,,,,https://www.facebook.com/varnegyedgallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4037294528,Várfok Galéria,gallery,POINT (19.0267021 47.5060408),,Budapest,11,1012,Várfok utca,http://www.varfok-galeria.hu/,,,,,no,,,,,Tu-Sa 11:00-18:00,,,,,,galeria@varfok-galeria.hu,+36 1 213 5155,,,,,,,,https://www.facebook.com/varfok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4119286412,Koller Galéria,gallery,POINT (19.0328273 47.5036209),,Budapest,5,1014,Táncsics Mihály utca,https://www.kollergaleria.hu/,Q1115292,,,,,,,,,10:00-18:00,,,,,,info@kollergaleria.hu,+36 1 356 9208,,,,,,,,https://www.facebook.com/KollerGaleria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4120659398,Kieselback Galéria,gallery,POINT (19.0489854 47.5125493),,Budapest,5,1055,Szent István körút,,Q56390949,,,,,,,,,Mo-Fr 10:00-18:00,,,,,,,,,+36 1 269 3148,,,,,,,,,,,,,,Kieselback Galéria Kft.,,,,,,,,,,,,,,,,,,,156466187781486,https://www.kieselbach.hu/,,,,,,,,gallery@kieselbach.hu,,,/g/11hd5fbb0v,4d01ff2adc18b1f7f7a5e910,,,,,,,,,,,,,,,,,,,,,,,11445261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4289119619,Fiatal Képzőművészek Stúdiója,gallery,POINT (19.074373 47.5057552),,Budapest,35,1077,Rottenbiller utca,http://studio.c3.hu/,,,,,,,,,,"Tu,Th,Fr,Sa 14:00-18:00; We 16:00-20:00",,,,,,studio@c3.hu,+36 1 342 5380,,,,,,,,https://www.facebook.com/fksestudio,,,,,,,,,,arts_centre,,cinema,,,,,,,,,,,,,,,,,,,,,,Stúdió Galéria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4350098233,Galéria '13,gallery,POINT (19.1159132 47.3996255),,Budapest,13,1238,Hősök tere,https://galeria13.hu/,,,,,,,,,,Th-Fr 14:00-18:00,,,,,,info@galeria13.t-online.hu,+36 1 287 3057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/254228051263862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
